player_id,full_name,team_name,position,now_cost,most_recent_gameweek_played,average_points,average_points_l3,average_goals_scored,average_goals_scored_l3,average_assists,average_assists_l3,average_clean_sheets,average_clean_sheets_l3,average_goals_conceded,average_goals_conceded_l3,average_expected_goals,average_expected_goals_l3,average_expected_assists,average_expected_assists_l3,average_expected_goals_conceded,average_expected_goals_conceded_l3,avg_xg_and_xa_l3,now_cost_per_avg_l3_points,now_cost_per_avg_l3_xg_and_xa,now_cost_per_avg_l3_xg_conceded,season
231,Vitalii Mykolenko,Crystal Palace,Defender,4.4,38.0,3.18,8.33,0.03,0.33,0.08,0.33,0.29,0.67,1.03,0.33,0.01,0.02,0.06,0.05,1.05,1.09,0.060000000000000005,0.53,73.33,4.04,2024_2025
162,Levi Colwill,Brighton,Defender,4.4,38.0,2.87,7.0,0.05,0.33,0.03,0.0,0.26,0.67,1.08,0.67,0.05,0.19,0.03,0.01,1.15,1.07,0.060000000000000005,0.63,73.33,4.11,2024_2025
44,Ezri Konsa Ngoyo,Aston Villa,Defender,4.5,38.0,2.71,7.0,0.05,0.33,0.0,0.0,0.21,0.67,1.18,0.67,0.03,0.12,0.02,0.04,1.15,1.39,0.07,0.64,64.29,3.24,2024_2025
126,Jack Hinshelwood,Brentford,Midfielder,4.9,38.0,2.34,7.33,0.13,1.0,0.08,0.0,0.16,0.0,0.79,0.33,0.07,0.43,0.04,0.01,0.79,0.65,0.08,0.67,61.25,7.54,2024_2025
163,Marc Cucurella Saseta,Brighton,Defender,5.4,38.0,3.5,8.0,0.13,0.33,0.05,0.0,0.24,0.67,1.0,0.67,0.07,0.07,0.06,0.02,1.05,1.07,0.09000000000000001,0.68,60.0,5.05,2024_2025
228,Michael Keane,Crystal Palace,Defender,3.8,38.0,1.26,5.33,0.08,0.33,0.0,0.0,0.08,0.33,0.53,0.33,0.02,0.06,0.0,0.0,0.5,0.98,0.02,0.71,190.0,3.88,2024_2025
433,Morgan Gibbs-White,Nott'm Forest,Midfielder,6.5,38.0,4.05,8.67,0.18,0.67,0.29,0.33,0.34,0.33,0.89,1.0,0.17,0.47,0.12,0.12,1.08,1.03,0.29000000000000004,0.75,22.41,6.31,2024_2025
388,Aaron Wan-Bissaka,West Ham,Defender,4.5,38.0,3.11,6.0,0.05,0.0,0.16,0.67,0.16,0.33,1.55,1.0,0.03,0.0,0.07,0.09,1.5,1.68,0.12,0.75,37.5,2.68,2024_2025
235,Jordan Pickford,Crystal Palace,Goalkeeper,5.2,38.0,4.16,6.67,0.0,0.0,0.03,0.0,0.32,0.67,1.16,0.33,0.0,0.0,0.01,0.0,1.21,1.09,0.0,0.78,inf,4.77,2024_2025
252,Raúl Jiménez,Everton,Forward,5.3,38.0,3.87,6.67,0.32,0.67,0.08,0.0,0.18,0.0,0.97,2.33,0.32,0.26,0.05,0.03,0.88,2.28,0.35,0.79,15.14,2.32,2024_2025
585,Ismaïla Sarr,Chelsea,Midfielder,5.5,38.0,3.92,6.67,0.21,0.33,0.18,0.67,0.26,0.33,1.03,1.0,0.28,0.55,0.18,0.25,1.02,1.31,0.53,0.82,10.38,4.2,2024_2025
514,Jarrod Bowen,West Ham,Midfielder,7.9,38.0,5.08,9.67,0.34,1.0,0.29,0.33,0.21,0.33,1.32,1.0,0.23,0.19,0.17,0.07,1.35,1.16,0.30000000000000004,0.82,26.33,6.81,2024_2025
199,Eberechi Eze,Chelsea,Midfielder,7.0,38.0,3.89,8.33,0.21,1.0,0.21,0.0,0.26,0.67,0.89,0.0,0.27,0.46,0.12,0.28,0.92,0.6,0.55,0.84,12.73,11.67,2024_2025
172,Reece James,Brighton,Defender,4.8,38.0,1.42,5.67,0.03,0.0,0.05,0.33,0.08,0.67,0.37,0.33,0.01,0.06,0.03,0.09,0.42,0.58,0.09999999999999999,0.85,48.0,8.28,2024_2025
78,Antoine Semenyo,Burnley,Midfielder,5.7,38.0,4.34,6.67,0.29,0.67,0.18,0.0,0.29,0.33,1.08,1.33,0.25,0.22,0.12,0.06,1.16,0.95,0.31,0.85,18.39,6.0,2024_2025
288,Conor Coady,Leeds,Defender,4.0,37.0,1.03,4.67,0.03,0.33,0.0,0.0,0.05,0.33,1.11,1.33,0.01,0.14,0.01,0.0,1.02,1.5,0.01,0.86,400.0,2.67,2024_2025
450,Carlos Alcaraz Durán,Crystal Palace,Midfielder,4.7,38.0,1.16,5.33,0.05,0.33,0.08,0.33,0.03,0.33,0.24,0.33,0.05,0.12,0.02,0.01,0.3,0.8,0.060000000000000005,0.88,78.33,5.88,2024_2025
187,Tosin Adarabioyo,Brighton,Defender,4.2,38.0,1.87,4.67,0.03,0.0,0.03,0.0,0.18,0.67,0.37,0.0,0.02,0.01,0.01,0.0,0.52,0.55,0.02,0.9,210.0,7.64,2024_2025
238,Ashley Young,Crystal Palace,Defender,4.2,38.0,2.58,4.67,0.03,0.0,0.11,0.0,0.24,0.67,0.61,0.33,0.01,0.0,0.08,0.35,0.69,1.09,0.36,0.9,11.67,3.85,2024_2025
361,Rúben Gato Alves Dias,Man City,Defender,5.5,38.0,2.37,6.0,0.0,0.0,0.0,0.0,0.29,0.67,0.55,0.33,0.04,0.03,0.03,0.07,0.78,0.97,0.11000000000000001,0.92,50.0,5.67,2024_2025
625,Ilkay Gündogan,Man City,Midfielder,6.3,38.0,2.62,6.67,0.03,0.33,0.19,0.67,0.27,0.67,0.76,0.0,0.09,0.16,0.12,0.18,0.96,0.69,0.27,0.94,23.33,9.13,2024_2025
14,Aaron Ramsdale,Sunderland,Goalkeeper,4.4,38.0,2.55,4.67,0.0,0.0,0.0,0.0,0.08,0.33,1.74,1.33,0.0,0.0,0.0,0.0,1.75,2.25,0.0,0.94,inf,1.96,2024_2025
295,James Justin,Leeds,Defender,4.1,38.0,1.84,4.33,0.05,0.0,0.05,0.33,0.08,0.33,1.79,1.33,0.04,0.01,0.02,0.04,1.68,1.36,0.08,0.95,51.25,3.01,2024_2025
91,Mark Flekken,Bournemouth,Goalkeeper,4.5,38.0,3.63,4.67,0.0,0.0,0.05,0.0,0.18,0.33,1.45,1.33,0.0,0.0,0.0,0.0,1.44,1.01,0.0,0.96,inf,4.46,2024_2025
185,Robert Sánchez,Brighton,Goalkeeper,4.5,38.0,3.32,4.67,0.0,0.0,0.0,0.0,0.26,0.67,0.89,0.67,0.0,0.0,0.0,0.0,1.01,1.07,0.0,0.96,inf,4.21,2024_2025
232,Iliman Ndiaye,Crystal Palace,Forward,5.2,38.0,3.0,5.33,0.24,0.67,0.0,0.0,0.39,0.67,0.63,0.0,0.16,0.34,0.04,0.04,0.76,0.46,0.2,0.98,26.0,11.3,2024_2025
566,Jørgen Strand Larsen,Wolves,Forward,5.2,38.0,3.82,5.33,0.37,0.33,0.11,0.67,0.18,0.0,1.37,1.33,0.27,0.08,0.03,0.01,1.16,0.67,0.28,0.98,18.57,7.76,2024_2025
364,Amad Diallo,Man Utd,Midfielder,5.3,38.0,3.39,5.33,0.21,0.33,0.21,0.33,0.18,0.33,0.79,1.0,0.12,0.16,0.1,0.16,0.83,0.83,0.28,0.99,18.93,6.39,2024_2025
