player_id,total_points,gw_id
1,0,4
2,3,4
3,2,4
4,2,4
5,1,4
6,0,4
7,10,4
8,2,4
9,0,4
10,1,4
11,1,4
12,0,4
13,5,4
14,1,4
15,2,4
16,9,4
17,0,4
18,0,4
19,2,4
20,0,4
21,0,4
22,0,4
23,0,4
24,0,4
25,0,4
26,7,4
27,0,4
28,1,4
29,3,4
30,2,4
31,2,4
32,2,4
33,2,4
34,0,4
35,0,4
36,0,4
37,2,4
38,0,4
39,0,4
40,2,4
41,0,4
42,1,4
43,1,4
44,2,4
45,1,4
46,3,4
47,1,4
48,0,4
49,0,4
50,0,4
51,0,4
52,0,4
53,1,4
54,1,4
55,0,4
56,0,4
57,-2,4
58,0,4
59,0,4
60,0,4
61,0,4
62,2,4
63,1,4
64,2,4
65,0,4
66,1,4
67,2,4
68,1,4
69,1,4
70,1,4
71,-4,4
72,-1,4
73,0,4
74,0,4
75,2,4
76,-2,4
77,0,4
78,0,4
79,2,4
80,2,4
81,6,4
82,0,4
83,2,4
84,0,4
85,2,4
86,6,4
87,0,4
88,2,4
89,1,4
90,0,4
91,1,4
92,0,4
93,0,4
94,1,4
95,2,4
96,0,4
97,0,4
98,0,4
99,0,4
100,0,4
101,0,4
102,0,4
103,2,4
104,11,4
105,0,4
106,7,4
107,3,4
108,5,4
109,6,4
110,0,4
111,6,4
112,5,4
113,8,4
114,1,4
115,0,4
116,2,4
117,0,4
118,1,4
119,0,4
120,3,4
121,0,4
122,0,4
123,0,4
124,1,4
125,0,4
126,0,4
127,1,4
128,2,4
129,0,4
130,2,4
131,0,4
132,1,4
133,0,4
134,0,4
135,0,4
136,2,4
137,0,4
138,0,4
139,1,4
140,1,4
141,2,4
142,1,4
143,0,4
144,0,4
145,1,4
146,7,4
147,3,4
148,-2,4
149,0,4
150,0,4
151,0,4
152,0,4
153,0,4
154,0,4
155,0,4
156,0,4
157,1,4
158,0,4
159,2,4
160,0,4
161,2,4
162,0,4
163,1,4
164,0,4
165,6,4
166,2,4
167,-1,4
168,0,4
169,5,4
170,1,4
171,1,4
172,0,4
173,0,4
174,0,4
175,0,4
176,0,4
177,1,4
178,0,4
179,0,4
180,1,4
181,0,4
182,2,4
183,0,4
184,0,4
185,0,4
186,2,4
187,0,4
188,0,4
189,2,4
190,1,4
191,0,4
192,8,4
193,0,4
194,2,4
195,6,4
196,0,4
197,2,4
198,0,4
199,2,4
200,1,4
201,1,4
202,0,4
203,1,4
204,2,4
205,1,4
206,0,4
207,0,4
208,0,4
209,1,4
210,7,4
211,2,4
212,0,4
213,0,4
214,0,4
215,2,4
216,0,4
217,0,4
218,0,4
219,1,4
220,1,4
221,0,4
222,0,4
223,1,4
224,1,4
225,2,4
226,0,4
227,0,4
228,2,4
229,0,4
230,2,4
231,1,4
232,0,4
233,2,4
234,0,4
235,1,4
236,0,4
237,0,4
238,3,4
239,0,4
240,0,4
241,0,4
242,1,4
243,0,4
244,2,4
245,0,4
246,1,4
247,0,4
248,0,4
249,1,4
250,0,4
251,0,4
252,0,4
253,0,4
254,1,4
255,5,4
256,0,4
257,1,4
258,1,4
259,4,4
260,1,4
261,0,4
262,1,4
263,0,4
264,7,4
265,1,4
266,1,4
267,0,4
