player_id,full_name,team_name,position,now_cost,most_recent_gameweek_played,average_points,average_points_l3,average_goals_scored,average_goals_scored_l3,average_assists,average_assists_l3,average_clean_sheets,average_clean_sheets_l3,average_goals_conceded,average_goals_conceded_l3,average_expected_goals,average_expected_goals_l3,average_expected_assists,average_expected_assists_l3,average_expected_goals_conceded,average_expected_goals_conceded_l3,avg_xg_and_xa_l3,now_cost_per_avg_l3_points,now_cost_per_avg_l3_xg_and_xa,now_cost_per_avg_l3_xg_conceded,season
668,Granit Xhaka,Sunderland,Midfielder,5.1,8.0,4.62,5.67,0.0,0.0,0.38,0.33,0.5,0.67,0.75,0.67,0.02,0.02,0.1,0.13,1.2,1.45,0.15,0.9,34.0,3.52,2025_2026
192,Quilindschy Hartman,Burnley,Defender,4.0,8.0,3.38,4.33,0.0,0.0,0.25,0.67,0.25,0.33,1.62,1.67,0.02,0.01,0.09,0.1,1.96,1.8,0.12000000000000001,0.92,33.33,2.22,2025_2026
722,Florentino Ibrain Morris Luís,Burnley,Midfielder,5.0,8.0,4.0,5.33,0.0,0.0,0.2,0.33,0.2,0.33,1.8,2.33,0.0,0.01,0.01,0.01,1.67,2.01,0.01,0.94,500.0,2.49,2025_2026
440,Diogo Dalot Teixeira,Man Utd,Defender,4.4,8.0,2.5,4.67,0.0,0.0,0.25,0.33,0.12,0.33,1.0,1.33,0.01,0.02,0.1,0.05,1.03,1.71,0.060000000000000005,0.94,73.33,2.57,2025_2026
187,Kyle Walker,Burnley,Defender,4.4,8.0,3.12,4.67,0.0,0.0,0.12,0.33,0.25,0.33,1.88,2.33,0.02,0.04,0.04,0.06,2.04,2.01,0.08,0.94,55.0,2.19,2025_2026
636,Santiago Ignacio Bueno,Wolves,Defender,4.4,8.0,2.25,4.67,0.12,0.33,0.0,0.0,0.0,0.0,0.88,1.33,0.09,0.25,0.05,0.13,0.63,0.89,0.22,0.94,20.0,4.94,2025_2026
8,Jurriën Timber,Arsenal,Defender,6.0,8.0,6.75,6.33,0.25,0.0,0.25,0.33,0.5,0.67,0.38,0.33,0.24,0.23,0.07,0.13,0.47,0.51,0.37,0.95,16.22,11.76,2025_2026
267,Ismaïla Sarr,Crystal Palace,Midfielder,6.5,8.0,4.75,6.67,0.38,0.33,0.12,0.33,0.38,0.33,0.62,1.33,0.4,0.41,0.04,0.08,1.06,1.61,0.48000000000000004,0.97,13.54,4.04,2025_2026
408,Rúben dos Santos Gato Alves Dias,Man City,Defender,5.5,8.0,4.12,5.67,0.0,0.0,0.0,0.0,0.5,0.67,0.62,0.33,0.0,0.0,0.02,0.03,0.91,0.68,0.03,0.97,183.33,8.09,2025_2026
531,Daniel Ballard,Sunderland,Defender,4.6,8.0,4.12,4.67,0.12,0.0,0.0,0.0,0.25,0.33,0.12,0.0,0.07,0.12,0.04,0.04,0.38,0.68,0.11000000000000001,0.99,41.82,6.76,2025_2026
470,Martin Dúbravka,Burnley,Goalkeeper,4.0,8.0,3.62,4.0,0.0,0.0,0.0,0.0,0.25,0.33,1.88,2.33,0.0,0.0,0.0,0.0,2.04,2.01,0.0,1.0,inf,1.99,2025_2026
442,Harry Maguire,Man Utd,Defender,4.4,8.0,3.38,4.33,0.12,0.33,0.12,0.0,0.12,0.0,0.5,1.0,0.04,0.04,0.0,0.0,0.78,1.59,0.04,1.02,110.0,2.77,2025_2026
110,Michael Kayode,Brentford,Defender,4.5,8.0,3.5,4.33,0.0,0.0,0.0,0.0,0.25,0.33,1.38,0.67,0.0,0.01,0.12,0.27,1.23,1.08,0.27,1.04,16.67,4.17,2025_2026
260,Marc Guéhi,Crystal Palace,Defender,4.9,8.0,6.25,4.67,0.12,0.0,0.38,0.67,0.38,0.0,1.0,2.0,0.1,0.14,0.12,0.31,1.36,2.07,0.41000000000000003,1.05,11.95,2.37,2025_2026
714,Nick Woltemade,Newcastle,Forward,7.4,8.0,6.4,7.0,0.8,1.0,0.0,0.0,0.8,0.67,0.4,0.67,0.53,0.79,0.04,0.06,0.72,0.92,0.5900000000000001,1.06,12.54,8.04,2025_2026
488,Bruno Guimarães Rodriguez Moura,Newcastle,Midfielder,6.5,8.0,4.0,6.0,0.25,0.33,0.12,0.33,0.5,0.33,0.88,1.33,0.08,0.14,0.1,0.19,0.67,1.08,0.27,1.08,24.07,6.02,2025_2026
