player_id,full_name,team_name,position,gw_id,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goals_conceded,total_points,season
1,David Raya Martín,Arsenal,Goalkeeper,1,0,0,1,0,0.0,0.0,1.52,10,2025_2026
5,Gabriel dos Santos Magalhães,Arsenal,Defender,1,0,0,1,0,0.0,0.0,1.52,6,2025_2026
6,William Saliba,Arsenal,Defender,1,0,0,1,0,0.0,0.0,1.52,9,2025_2026
7,Riccardo Calafiori,Arsenal,Defender,1,1,0,1,0,0.91,0.01,0.87,13,2025_2026
8,Jurriën Timber,Arsenal,Defender,1,0,0,0,0,0.0,0.0,0.66,0,2025_2026
10,Myles Lewis-Skelly,Arsenal,Defender,1,0,0,0,0,0.0,0.0,0.66,0,2025_2026
12,Oleksandr Zinchenko,Nott'm Forest,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
16,Bukayo Saka,Arsenal,Midfielder,1,0,0,1,0,0.15,0.09,1.52,3,2025_2026
17,Martin Ødegaard,Arsenal,Midfielder,1,0,0,1,0,0.09,0.29,1.52,5,2025_2026
19,Gabriel Martinelli Silva,Arsenal,Midfielder,1,0,0,0,0,0.02,0.01,0.7,1,2025_2026
20,Leandro Trossard,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
21,Declan Rice,Arsenal,Midfielder,1,0,1,1,0,0.13,0.01,1.04,6,2025_2026
22,Mikel Merino Zazón,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.49,1,2025_2026
24,Christian Nørgaard,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
25,Ethan Nwaneri,Arsenal,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
26,Martín Zubimendi Ibáñez,Arsenal,Midfielder,1,0,0,1,0,0.0,0.01,1.52,5,2025_2026
32,Emiliano Martínez Romero,Aston Villa,Goalkeeper,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
36,Matty Cash,Aston Villa,Defender,1,0,0,1,0,0.0,0.0,1.43,8,2025_2026
37,Lucas Digne,Aston Villa,Defender,1,0,0,1,0,0.0,0.01,1.43,6,2025_2026
38,Ezri Konsa Ngoyo,Aston Villa,Defender,1,0,0,1,0,0.0,0.01,1.11,3,2025_2026
39,Ian Maatsen,Aston Villa,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
40,Tyrone Mings,Aston Villa,Defender,1,0,0,1,0,0.0,0.0,1.43,6,2025_2026
41,Pau Torres,Aston Villa,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
44,Lamare Bogarde,Aston Villa,Defender,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
47,Morgan Rogers,Aston Villa,Midfielder,1,0,0,1,0,0.0,0.05,1.43,3,2025_2026
50,Emiliano Buendía Stati,Aston Villa,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
52,Jacob Ramsey,Newcastle,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
53,Donyell Malen,Aston Villa,Midfielder,1,0,0,0,0,0.03,0.0,0.1,1,2025_2026
54,John McGinn,Aston Villa,Midfielder,1,0,0,1,0,0.0,0.09,1.33,3,2025_2026
55,Ross Barkley,Aston Villa,Midfielder,1,0,0,0,0,0.0,0.0,0.0,0,2025_2026
58,Boubacar Kamara,Aston Villa,Midfielder,1,0,0,1,0,0.05,0.03,1.43,2,2025_2026
59,Amadou Onana,Aston Villa,Midfielder,1,0,0,1,0,0.0,0.01,1.43,5,2025_2026
64,Ollie Watkins,Aston Villa,Forward,1,0,0,1,0,0.12,0.01,1.43,2,2025_2026
67,Đorđe Petrović,Bournemouth,Goalkeeper,1,0,0,0,4,0.0,0.0,2.21,2,2025_2026
72,Marcos Senesi Barón,Bournemouth,Defender,1,0,0,0,4,0.0,0.05,2.21,2,2025_2026
74,Adrien Truffert,Bournemouth,Defender,1,0,0,0,4,0.0,0.13,2.21,0,2025_2026
77,James Hill,Bournemouth,Defender,1,0,0,0,1,0.0,0.0,0.11,1,2025_2026
